stack_id,user_id,stack_name,number_of_cards,number_of_learned_cards,number_of_unlearned_cards,topic,total_downloads,creator,created_at,last_learned_at
103,160,Ground monitor (unidentified),103,103,103,Medicine Vine,103,cricciardi2u,10/9/2022,5/9/2023
104,496,"Glider, feathertail",104,104,104,Dichrostachys,104,awilderspoon2v,8/26/2023,5/2/2023
105,258,"Possum, golden brush-tailed",105,105,105,Santa Maria Feverfew,105,nprescott2w,6/13/2023,6/12/2023
106,577,"Penguin, little blue",106,106,106,Alaska Bellheather,106,lmcterlagh2x,1/24/2023,12/30/2022
107,778,"Pademelon, red-legged",107,107,107,Jordal's Locoweed,107,zitzkovwitch2y,12/14/2022,8/29/2023
108,611,Springbok,108,108,108,Kern Mallow,108,jsailor2z,3/23/2023,2/9/2023
109,502,Bontebok,109,109,109,Warnock's Water-willow,109,icoulsen30,4/8/2023,5/24/2023
110,308,"Otter, african clawless",110,110,110,Cardinal Climber,110,gbacken31,12/16/2022,9/26/2022
111,476,Polar bear,111,111,111,Tree Crabseye Lichen,111,fsommers32,2/2/2023,10/7/2022
112,522,"Stork, greater adjutant",112,112,112,Durango Tumblemustard,112,jsawle33,12/9/2022,7/7/2023
113,839,Chilean flamingo,113,113,113,Parsnipflower Buckwheat,113,mglanert34,12/29/2022,5/18/2023
114,941,"Cockatoo, red-tailed",114,114,114,Tidalmarsh Amaranth,114,jzammitt35,11/9/2022,4/25/2023
115,696,"Genet, common",115,115,115,Broadleaf Monkeyflower,115,rconsidine36,6/19/2023,6/16/2023
116,577,"Monster, gila",116,116,116,Reverchon's False Pennyroyal,116,gwilsee37,6/28/2023,4/12/2023
117,321,Southern black-backed gull,117,117,117,Horehound-leaf Nettle,117,mgolder38,1/6/2023,6/26/2023
118,511,Nelson ground squirrel,118,118,118,Milkberry,118,ecater39,2/19/2023,10/15/2022
119,271,"Bat, madagascar fruit",119,119,119,Lung Lichen,119,lchaney3a,9/24/2022,11/5/2022
120,607,White-necked stork,120,120,120,Engelmann's Sedge,120,rbougen3b,3/25/2023,8/31/2023
121,367,Sable antelope,121,121,121,Sierra Blazingstar,121,bkobisch3c,7/12/2023,7/25/2023
122,235,"Goose, andean",122,122,122,Summit Colicwood,122,eshillitto3d,9/17/2022,10/20/2022
123,624,"Monitor, water",123,123,123,Tapertip Liveforever,123,saiers3e,3/12/2023,8/3/2023
124,847,"Rat, desert kangaroo",124,124,124,Woodfern,124,gambrogelli3f,4/4/2023,9/4/2023
125,498,"Whale, southern right",125,125,125,Dunchi Fiber,125,ltenbrug3g,9/13/2022,9/13/2022
126,986,Indian tree pie,126,126,126,Mt. Hamilton Thistle,126,hjakubovski3h,7/28/2023,4/2/2023
127,234,"Boa, malagasy ground",127,127,127,Tulare Cryptantha,127,tstubbert3i,8/26/2023,12/13/2022
128,351,"Shrike, southern white-crowned",128,128,128,Smallbristle Hound's Tongue,128,vblanch3j,7/14/2023,3/20/2023
129,899,Crested screamer,129,129,129,Absinthium,129,cballantyne3k,2/15/2023,8/22/2023
130,844,"Nighthawk, common",130,130,130,Coastal Sand Frostweed,130,flahrs3l,11/28/2022,6/4/2023
131,669,White-throated kingfisher,131,131,131,Golden Tickseed,131,afeldmesser3m,8/22/2023,5/3/2023
132,500,"Cormorant, large",132,132,132,Bulbous Adderstongue,132,cbailles3n,3/13/2023,8/18/2023
133,11,"Ibis, puna",133,133,133,Lac Tree,133,thelliwell3o,6/20/2023,3/6/2023
134,894,"Colobus, white-mantled",134,134,134,Cylindricfruit Primrose-willow,134,hvondracek3p,4/23/2023,11/11/2022
135,7,"Squirrel, palm",135,135,135,Threelobe Rosemallow,135,mdebenedetti3q,9/6/2023,6/13/2023
136,352,"Waterbuck, common",136,136,136,Nipplewort,136,ivasyushkhin3r,1/19/2023,2/27/2023
137,434,"Nutcracker, clark's",137,137,137,Schaereria Lichen,137,kbanane3s,2/24/2023,4/3/2023
138,293,"Tern, white-winged",138,138,138,Cape Blue Waterlily,138,asmallcombe3t,12/11/2022,4/8/2023
139,538,Eurasian hoopoe,139,139,139,Sessileflower False Goldenaster,139,rgheorghie3u,9/16/2022,1/25/2023
140,587,"Cat, long-tailed spotted",140,140,140,Calamondin,140,tbennetts3v,7/21/2023,6/11/2023
141,814,Arboral spiny rat,141,141,141,Crowberry,141,bsiggery3w,6/21/2023,5/9/2023
142,372,Azara's zorro,142,142,142,Garden Croton,142,krosoman3x,11/5/2022,5/27/2023
143,531,"Bustard, stanley",143,143,143,Candle Snuffer Moss,143,aattac3y,9/11/2022,5/20/2023
144,835,House sparrow,144,144,144,Turkey Tangle Fogfruit,144,ebaptie3z,2/8/2023,5/16/2023
145,294,Burrowing owl,145,145,145,Wart Lichen,145,agritsunov40,1/5/2023,7/19/2023
146,51,Monitor lizard (unidentified),146,146,146,Netted Popcornflower,146,ethomton41,12/22/2022,2/26/2023
147,952,Western bearded dragon,147,147,147,Mudbank Crowngrass,147,dibberson42,9/22/2022,11/10/2022
148,754,"Turtle, long-necked",148,148,148,Sierra Shootingstar,148,vskeermor43,12/2/2022,2/28/2023
149,897,"Kangaroo, jungle",149,149,149,Potato Fern,149,lmichin44,10/30/2022,10/30/2022
150,576,Green-winged macaw,150,150,150,Panamint Springparsley,150,traitt45,5/22/2023,2/10/2023
151,317,"Lizard, giant girdled",151,151,151,Silk-floss Tree,151,powtram46,8/16/2023,11/9/2022
152,490,"Crab, sally lightfoot",152,152,152,Bush Yam,152,lhaughey47,10/2/2022,4/25/2023
153,436,Thirteen-lined squirrel,153,153,153,Sun Spurge,153,lduiged48,11/5/2022,5/4/2023
154,398,"Marmot, hoary",154,154,154,Tuckermannopsis Lichen,154,mandric49,3/14/2023,8/20/2023
155,146,"Eagle, long-crested hawk",155,155,155,Hanbury's Garcinia,155,scarnier4a,2/21/2023,11/30/2022
156,332,"Ibis, sacred",156,156,156,Brownish Sedge,156,daleksic4b,11/1/2022,7/25/2023
157,300,Musk ox,157,157,157,Dioecious Sedge,157,vstickney4c,3/12/2023,11/5/2022
158,38,Yellow-billed stork,158,158,158,Slender Spikerush,158,kattock4d,12/6/2022,9/27/2022
159,504,Brolga crane,159,159,159,Eiglera Lichen,159,eoverel4e,7/21/2023,8/29/2023
160,317,Llama,160,160,160,Tiehm's Blazing Star,160,nloddy4f,6/12/2023,2/24/2023
161,736,"Peacock, blue",161,161,161,Alkanna,161,tnorthgraves4g,3/21/2023,7/21/2023
162,753,"Phascogale, red-tailed",162,162,162,Greenstem Paperflower,162,ccree4h,4/4/2023,6/25/2023
163,128,"Pie, rufous tree",163,163,163,Parish's Larkspur,163,mkowalski4i,1/14/2023,6/14/2023
164,392,"Beaver, north american",164,164,164,Arctic Woodrush,164,hcurness4j,4/27/2023,1/9/2023
165,132,Ant (unidentified),165,165,165,Umbrella Thorn,165,cpolotti4k,8/16/2023,4/21/2023
166,957,Common eland,166,166,166,July Gold,166,xfrensche4l,12/2/2022,5/7/2023
167,62,Green-winged trumpeter,167,167,167,Awl-leaf Pearlwort,167,bsnook4m,8/24/2023,9/16/2022
168,699,Tarantula,168,168,168,Uinta Mountain Fleabane,168,bgoodere4n,11/2/2022,3/11/2023
169,492,"Jacana, african",169,169,169,Illscented Wakerobin,169,lgarfirth4o,12/31/2022,10/9/2022
170,274,"Mongoose, yellow",170,170,170,Fire Reedgrass,170,gmetheringham4p,8/13/2023,6/15/2023
171,121,Gila monster,171,171,171,Ngai Camphor,171,rjoder4q,3/24/2023,3/27/2023
172,905,Miner's cat,172,172,172,St. Thomas Lidpod,172,cbaine4r,2/3/2023,10/14/2022
173,178,Jabiru stork,173,173,173,Attorney,173,mmickan4s,8/30/2023,1/22/2023
174,522,"Civet, common palm",174,174,174,Spoonshape Barbara's Buttons,174,chuckel4t,8/28/2023,6/9/2023
175,348,"Nighthawk, common",175,175,175,Hairy Pepperweed,175,handrzejczak4u,2/9/2023,2/23/2023
176,340,Ring-tailed lemur,176,176,176,Dalea,176,lwaylett4v,11/20/2022,2/19/2023
177,801,Bald eagle,177,177,177,Rhizomnium Moss,177,shinstridge4w,2/14/2023,10/14/2022
178,434,"Boa, malagasy ground",178,178,178,Heartleaf Groundcherry,178,sdongate4x,6/24/2023,10/17/2022
179,27,Woodrat (unidentified),179,179,179,Whitebract Blazingstar,179,dladlow4y,4/9/2023,7/23/2023
180,698,White-bellied sea eagle,180,180,180,Lucya,180,dedmott4z,6/3/2023,5/10/2023
181,896,Swallow (unidentified),181,181,181,Panama Tree,181,omaes50,3/25/2023,5/17/2023
182,780,"Bee-eater, nubian",182,182,182,Asian Netvein Hollyfern,182,cmarquis51,12/10/2022,3/31/2023
183,718,Kori bustard,183,183,183,Little Larkspur,183,espurryer52,9/16/2022,12/20/2022
184,737,Spotted wood sandpiper,184,184,184,Sedge,184,ghoudhury53,8/20/2023,1/11/2023
185,308,Gray langur,185,185,185,Smooth Yellow Nicker,185,agameson54,9/6/2023,11/19/2022
186,684,"Tamandua, southern",186,186,186,Bach's Calicoflower,186,crozet55,11/14/2022,12/31/2022
187,489,Asian water dragon,187,187,187,Smoketree,187,fcow56,5/6/2023,11/9/2022
188,770,Black-backed jackal,188,188,188,Pappose Tarweed,188,ccrocroft57,10/11/2022,6/17/2023
189,368,Black-tailed prairie dog,189,189,189,Durian,189,wmcvrone58,5/27/2023,4/6/2023
190,241,"Glider, feathertail",190,190,190,Snakeroot,190,rivankov59,8/21/2023,4/30/2023
191,500,"Glider, sugar",191,191,191,Rinodina Lichen,191,sbleackley5a,5/1/2023,8/30/2023
192,293,Tokay gecko,192,192,192,Tubular Bluestar,192,lcram5b,7/15/2023,2/11/2023
193,384,"Toucan, red-billed",193,193,193,Clubmoss,193,skitchinham5c,10/28/2022,4/25/2023
194,353,"Jaeger, long-tailed",194,194,194,Pentapetes,194,srenvoys5d,1/21/2023,11/21/2022
195,446,Worm snake (unidentified),195,195,195,Polunin's Rim Lichen,195,blipprose5e,2/16/2023,3/3/2023
196,603,Ground legaan,196,196,196,Blackbead,196,ffiggen5f,3/20/2023,12/31/2022
197,669,Blue crane,197,197,197,Cinnamon,197,lrussan5g,2/6/2023,4/9/2023
198,18,"Heron, black-crowned night",198,198,198,Woolly Cinquefoil,198,rmitkov5h,10/25/2022,6/2/2023
199,834,"Fox, asian red",199,199,199,Bluefly Honeysuckle,199,svain5i,12/29/2022,1/22/2023
200,434,Common palm civet,200,200,200,Pineland Snakeherb,200,ktrace5j,12/13/2022,9/8/2022
201,962,Black rhinoceros,201,201,201,Seaside Brookweed,201,grayman5k,3/27/2023,6/16/2023
202,423,"Dog, african wild",202,202,202,Gordon's Buckwheat,202,kmahoney5l,9/12/2022,7/9/2023
203,367,"Macaw, blue and yellow",203,203,203,Pumpkin Ash,203,lliverseege5m,7/12/2023,5/5/2023
204,704,"Bee-eater, white-fronted",204,204,204,Whitehead Spikesedge,204,mrawlcliffe5n,10/20/2022,6/10/2023
205,658,"Bushbaby, large-eared",205,205,205,Crabseye Lichen,205,kvenard5o,9/7/2023,1/28/2023
206,78,Striped skunk,206,206,206,Entolasia,206,vlerego5p,12/12/2022,11/18/2022
207,39,"Mongoose, javan gold-spotted",207,207,207,Rooting Chainfern,207,skleinert5q,3/7/2023,11/23/2022
208,216,Caracara (unidentified),208,208,208,Velvetshrub,208,ecaesman5r,7/27/2023,9/14/2022
209,92,Black-capped chickadee,209,209,209,Buckbean,209,lwoodley5s,1/6/2023,3/5/2023
210,415,Snow goose,210,210,210,Roxburgh's Cassia,210,sthiolier5t,8/29/2023,8/27/2023
211,706,Burrowing owl,211,211,211,Jarilla,211,otrayhorn5u,12/18/2022,5/18/2023
212,380,Killer whale,212,212,212,African Mahogany,212,sspuner5v,1/18/2023,10/24/2022
213,237,"Dog, black-tailed prairie",213,213,213,Rio Grande Copperlily,213,pflintuff5w,6/11/2023,1/3/2023
214,682,Snowy egret,214,214,214,Golden Larch,214,bspargo5x,3/20/2023,3/11/2023
215,48,"Tortoise, burmese black mountain",215,215,215,Pacific Wildrye,215,bscurry5y,6/21/2023,4/12/2023
216,954,Marabou stork,216,216,216,Incline Distichium Moss,216,dkerswill5z,7/22/2023,11/25/2022
217,868,Crested porcupine,217,217,217,Prairie Phacelia,217,mbestar60,3/5/2023,7/4/2023
218,713,"Hawk, red-tailed",218,218,218,Northland Cottonsedge,218,wsykes61,9/26/2022,7/20/2023
219,586,"Lion, steller sea",219,219,219,Contra Costa Manzanita,219,cberinger62,2/28/2023,5/31/2023
220,745,Egyptian goose,220,220,220,Falcate Rush,220,glearoyd63,1/7/2023,2/14/2023
221,177,Denham's bustard,221,221,221,Ionaspis Lichen,221,bnurdin64,7/12/2023,7/12/2023
222,608,Ringtail,222,222,222,Grimmia Dry Rock Moss,222,asexon65,10/13/2022,1/30/2023
223,547,American alligator,223,223,223,Climbing Tribisee,223,acrannage66,6/22/2023,7/8/2023
224,313,"Bison, american",224,224,224,Virginia Wildrye,224,rbarrington67,11/29/2022,5/18/2023
225,909,"Cardinal, black-throated",225,225,225,Cavern Beard Lichen,225,pkrystek68,2/9/2023,12/3/2022
226,789,"Opossum, american virginia",226,226,226,Smooth Forked Nailwort,226,temmitt69,10/10/2022,5/16/2023
227,39,Honey badger,227,227,227,Torrey's Craglily,227,bmartinovic6a,2/7/2023,6/9/2023
228,259,Puku,228,228,228,Weak Groundsel,228,nhussy6b,5/8/2023,12/10/2022
229,289,"Baboon, yellow",229,229,229,Bishop Pine,229,jmcward6c,7/6/2023,9/6/2023
230,404,"Beaver, european",230,230,230,Slender Woodoats,230,rpillman6d,6/29/2023,8/19/2023
231,340,Cape Barren goose,231,231,231,Scholander's Navel Lichen,231,bmarshallsay6e,8/3/2023,1/18/2023
232,615,Kelp gull,232,232,232,Rocky Mountain Fescue,232,ajiggens6f,5/25/2023,9/2/2023
233,824,"Squirrel, grey-footed",233,233,233,Kashmir Cypress,233,cchatres6g,6/9/2023,12/22/2022
234,142,"Lion, south american sea",234,234,234,Sasswood,234,kmeagher6h,12/4/2022,8/28/2023
235,661,"Stork, yellow-billed",235,235,235,Michelia,235,jkenwrick6i,5/20/2023,9/28/2022
236,982,"Rhinoceros, white",236,236,236,Caralluma,236,amabbott6j,5/31/2023,4/20/2023
237,921,"Swan, trumpeter",237,237,237,Poorjoe,237,hsone6k,4/23/2023,3/10/2023
238,805,European wild cat,238,238,238,Slender Threeseed Mercury,238,jsmalman6l,7/11/2023,2/2/2023
239,664,Land iguana,239,239,239,Bush's Umbrella-sedge,239,bbielfeld6m,1/4/2023,11/20/2022
240,797,"Eagle, african fish",240,240,240,Dotted Lichen,240,mstanhope6n,9/16/2022,3/28/2023
241,520,Yellow-crowned night heron,241,241,241,Chiricahua Mountain Brookweed,241,cdurston6o,6/3/2023,3/2/2023
242,435,Fat-tailed dunnart,242,242,242,Watson's Snapdragon,242,ldutchburn6p,7/19/2023,4/14/2023
243,338,Mallard,243,243,243,Rim Lichen,243,pburgott6q,4/6/2023,11/15/2022
244,129,Woodchuck,244,244,244,Earth Loosestrife,244,adanilov6r,12/29/2022,5/2/2023
245,909,"Wolf, timber",245,245,245,Garden Tomato,245,fparkin6s,8/8/2023,1/2/2023
246,829,"Buffalo, african",246,246,246,Pygmy Groundcherry,246,cgettings6t,8/21/2023,2/16/2023
247,718,"Partridge, coqui",247,247,247,Balsamroot,247,bpeerless6u,3/21/2023,8/10/2023
248,312,"Falcon, prairie",248,248,248,Grayleaf Red Raspberry,248,storvey6v,3/1/2023,8/17/2023
249,107,"Ferret, black-footed",249,249,249,Nellie Cory Cactus,249,ohovee6w,8/31/2023,12/23/2022
250,388,Emerald green tree boa,250,250,250,Nineleaf Biscuitroot,250,gsine6x,8/28/2023,12/15/2022
251,511,"Sheep, red",251,251,251,Healing Croton,251,mmaddox6y,10/31/2022,1/6/2023
252,558,"Weaver, lesser masked",252,252,252,Fernald's Milkvetch,252,afarmery6z,4/21/2023,11/10/2022
253,639,"Fox, pampa gray",253,253,253,Johnny-jump-up,253,jsalvidge70,1/13/2023,4/4/2023
254,393,American alligator,254,254,254,Mountain Arnica,254,rhexam71,3/1/2023,4/12/2023
255,958,"Ibis, sacred",255,255,255,Glossy Privet,255,aharrill72,5/17/2023,3/19/2023
256,751,Red-billed hornbill,256,256,256,Bigleaf Lupine,256,wweedon73,5/23/2023,7/20/2023
257,720,Grant's gazelle,257,257,257,Yosemite Sedge,257,rfigiovanni74,11/2/2022,4/15/2023
258,124,Yak,258,258,258,James' Buckwheat,258,zpettus75,10/18/2022,5/13/2023
259,206,Greater adjutant stork,259,259,259,Thelidium Lichen,259,hapfler76,4/8/2023,3/10/2023
260,574,Ring-tailed possum,260,260,260,Guazuma,260,khelversen77,6/26/2023,12/25/2022
261,820,Common long-nosed armadillo,261,261,261,Baker's Delphinium,261,owheatland78,9/14/2022,2/26/2023
262,432,"Dove, ring",262,262,262,Sensitive Partridge Pea,262,seakly79,12/24/2022,4/7/2023
263,660,"Badger, honey",263,263,263,Entolasia,263,gdeny7a,3/30/2023,6/7/2023
264,547,"Squirrel, european red",264,264,264,Summer Snowflake,264,gjervoise7b,10/20/2022,6/23/2023
