flashcard_id,stack_id,frontside,backside,learning_status
30,971,Dogtooth Violet,Erythronium americanum Ker Gawl. ssp. harperi (W. Wolf) Parks & Hardin,30
31,550,Crispleaf Buckwheat,Eriogonum corymbosum Benth. var. glutinosum (M.E. Jones) M.E. Jones,31
32,705,Finebranched Popcornflower,Plagiobothrys leptocladus (Greene) I.M. Johnst.,32
33,515,Western Azalea,Rhododendron occidentale (Torr. & A. Gray) A. Gray,33
34,150,Echeveria,Echeveria DC.,34
35,930,Golden Insideout Flower,Vancouveria chrysantha Greene,35
36,961,Rothrock's Crownbeard,Verbesina rothrockii B.L. Rob. & Greenm.,36
37,126,Desert Poa,Poa maniototo Petrie,37
38,901,Sedge,Carex ×subviridula Fernald,38
39,913,Dwarf Mock Orange,Philadelphus pumilus Rydb.,39
40,897,Oahu Cowpea,Vigna owahuensis Vogel,40
41,919,Hybrid Pitcherplant,Sarracenia ×bellii Mellich.,41
42,859,California Larkspur,Delphinium californicum Torr. & A. Gray ssp. interius (Eastw.) Ewan,42
43,900,Pili Nut,Canarium ovatum Engl.,43
44,11,Ralm,Neuburgia celebica (Koord.) Leenh.,44
45,736,Strigula Lichen,Strigula Fr.,45
46,562,Leiberg's Bluegrass,Poa leibergii Scribn.,46
47,250,Hoary Mock Orange,Philadelphus pubescens Loisel.,47
48,564,Spleen Amaranth,Amaranthus dubius Mart. ex Thell.,48
49,977,Spotted Hawkweed,Hieracium maculatum Sm.,49
50,30,Showy Penstemon,Penstemon spectabilis Thurb. ex A. Gray,50
51,975,Broadleaf Hawthorn,Crataegus dilatata Sarg.,51
52,466,Furrowed Wakerobin,Trillium sulcatum Patrick,52
53,33,Cup Lichen,Cladonia humilis (With.) J.R. Laundon,53
54,584,Santa Cruz Gooseberry,Ribes thacherianum (Jeps.) Munz,54
55,159,Bluntlobe Cyanea,Cyanea obtusa (A. Gray) Hillebr.,55
56,177,Mexican Orange,Choisya dumosa (Torr.) A. Gray,56
57,701,Phaeographis,Phaeographis sericea (Eschw.) Müll. Arg.,57
58,271,Autumn Coralroot,Corallorhiza odontorhiza (Willd.) Poir.,58
59,103,Ceratotheca,Ceratotheca Endl.,59
60,183,Sulphur Clover,Trifolium ochroleucum Huds.,60
61,844,Ahart's Nailwort,Paronychia ahartii Ertter,61
62,804,Cusick's Bluegrass,Poa cusickii Vasey ssp. cusickii,62
63,464,California Adderstongue,Ophioglossum californicum Prantl,63
64,596,Taxiphyllum Moss,Taxiphyllum alternans (Cardot) Z. Iwats.,64
65,77,Broadleaf Signalgrass,Urochloa platyphylla (Munro ex C. Wright) R.D. Webster,65
66,350,Black River Beardtongue,Penstemon putus A. Nelson,66
67,90,Saskatoon Serviceberry,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. alnifolia,67
68,612,Rim Lichen,Lecanora piniperda Körb.,68
69,733,Lemmon's Brickellbush,Brickellia lemmonii A. Gray,69
70,393,Sierra Horkelia,Horkelia congesta Douglas ex Hook. ssp. congesta,70
71,262,Pyramid Moss,Pyramidula Brid.,71
72,459,Mt. Kahili Beggarticks,Bidens valida Sherff,72
73,444,Ullucus,Ullucus Loz.,73
74,355,Pale Lobelia,Lobelia appendiculata A. DC.,74
75,487,Thicket Bean,"Phaseolus polystachios (L.) Britton, Sterns & Poggenb.",75
76,673,Scarlet Bottlebrush,Callistemon rugulosus (D.F.K. Schltdl. ex Link) DC.,76
77,688,Alabama Milkvine,Matelea alabamensis (Vail) Woodson,77
78,560,Twining Screwstem,Bartonia paniculata (Michx.) Muhl. ssp. paniculata,78
79,188,Whorled Clustervine,Jacquemontia verticillata (L.) Urb.,79
80,864,Tropical Dropseed,Sporobolus tenuissimus (Mart. ex Schrank) Kuntze,80
81,300,Giant Arrowhead,Sagittaria montevidensis Cham. & Schltdl.,81
82,652,Farnoldia Lichen,Farnoldia micropsis (A. Massal.) Hertel,82
83,802,Upland Boneset,Eupatorium sessilifolium L. var. brittonianum Porter,83
84,406,Red Silk Cottontree,Bombax ceiba L.,84
85,599,Limprichtia Moss,Limprichtia revolvens (Sw.) Loeske,85
86,259,Butterbur,Petasites Mill.,86
87,782,Spotted Joe Pye Weed,Eutrochium maculatum (L.) E.E. Lamont var. foliosum (Fernald) E.E. Lamont,87
88,694,Featherleaf Kittentails,Synthyris pinnatifida S. Watson,88
89,711,Smallhead Cat's Ear,Hypochaeris microcephala (Sch. Bip.) Cabrera var. microcephala (Sch. Bip.) Cabrera [excluded],89
90,171,Star Magnolia,Magnolia stellata (Siebold & Zucc.) Maxim.,90
91,722,Rigid Sedge,Carex tetanica Schkuhr,91
92,42,Intermountain Indian Breadroot,Pediomelum megalanthum (Wooton & Standl.) Rydb. var. epipsilum (Barneby) J. Grimes,92
93,674,False Rosinweed,Osmadenia tenella Nutt.,93
94,126,Gordon's Bladderpod,Lesquerella gordonii (A. Gray) S. Watson var. densifolia Rollins,94
95,272,Morrow's Honeysuckle,Lonicera morrowii A. Gray,95
96,583,Bladder Campion,Silene latifolia Poir.,96
97,228,Silver Cock's Comb,Celosia argentea L.,97
98,908,Temblor Range Clarkia,Clarkia tembloriensis Vasek,98
99,753,Fabronia Moss,Fabronia ciliaris (Brid.) Brid.,99
100,145,Small Whorled Pogonia,Isotria medeoloides (Pursh) Raf.,100
101,631,Early Water Grass,Echinochloa oryzoides (Ard.) Fritsch,101
102,199,Braun's Rockcress,Arabis perstellata E.L. Braun,102
103,290,Peltula Lichen,Peltula omphaliza (Nyl.) Wetmore,103
104,210,New England Sedge,Carex novae-angliae Schwein.,104
105,700,Southern Mule-ears,Agnorhiza ovata (Torr. & A. Gray ex Torr.) W.A. Weber,105
106,666,Lapalapa,Cheirodendron platyphyllum (Hook. & Arn.) Seem. ssp. kauaiense (Krajina) Lowry,106
107,244,American Bird's-foot Trefoil,Lotus unifoliolatus (Hook.) Benth.,107
108,595,Veiny Monardella,Monardella douglasii Benth. ssp. venosa (Torr.) Jokerst,108
109,868,Lagotis,Lagotis Gaertn.,109
110,111,Santa Lucia Suncup,Camissonia luciae P.H. Raven,110
111,159,Margined Buttercup,Ranunculus marginatus d'Urv. var. marginatus d'Urv. [excluded],111
112,269,Yam,Dioscorea macrostachya Benth.,112
113,639,Sampson's Snakeroot,Orbexilum pedunculatum (Mill.) Rydb. var. psoralioides (Walter) Isely,113
114,602,New York Dewberry,Rubus obsessus L.H. Bailey,114
115,279,Dwarf Desert Honeysuckle,Anisacanthus puberulus (Torr.) Henrickson & Lott,115
116,318,Saddle Mountain Saxifrage,Saxifraga hitchcockiana Elvander,116
117,190,Largeleaf Maidenhair,Adiantum macrophyllum Sw.,117
118,784,Day Valley Desertparsley,Lomatium minus (Rose ex Howell) Mathias & Constance,118
119,720,Golden Insideout Flower,Vancouveria chrysantha Greene,119
120,877,Caruzo,Ichnanthus pallens (Sw.) Munro ex Benth. var. pallens,120
121,303,'awikiwiki,Canavalia galeata (Gaudich.) Vogel,121
122,562,Mitchella,Mitchella L.,122
123,92,Grand Fringed Gentian,Gentianopsis macrantha (D. Don ex G. Don) Iltis,123
124,333,Silver Wattle,Acacia dealbata Link,124
125,993,Dot Lichen,Micarea lignaria (Ach.) Hedl.,125
126,650,Rock Clubmoss,Huperzia porophila (Lloyd & Underw.) Holub,126
127,544,Sawtooth Sandmat,Chamaesyce serrula (Engelm.) Wooton & Standl.,127
128,131,Licorice Weed,Scoparia L.,128
129,379,Cardot's Pohlia Moss,Pohlia cardotii (Renauld) Broth.,129
130,481,Snow Dwarf-primrose,Douglasia nivalis Lindl. var. dentata (S. Watson) A. Gray,130
131,941,Swamp-oak,Casuarina obesa Miq.,131
132,854,Point Reyes Ceanothus,Ceanothus gloriosus J.T. Howell,132
133,118,Kaulfuss' Spleenwort,Asplenium kaulfussii Schltdl.,133
134,312,Brachymenium Moss,Brachymenium systylium (Müll. Hal.) A. Jaeger,134
135,909,Alabama Maiden Fern,Thelypteris pilosa (M. Martens & Galeotti) Crawford var. alabamensis Crawford,135
136,186,Koolau Range Beggarticks,Bidens asymmetrica (Levl.) Sherff,136
137,33,Dovefoot Geranium,Geranium molle L.,137
138,489,Tufted Townsend Daisy,Townsendia scapigera D.C. Eaton,138
139,244,Eggyolk Lichen,Candelariella plumbea Poelt & Vezda,139
140,849,Daisy Bush,Olearia cheesmanii Cockayne & Allan,140
141,803,Wavy Scaly Cloakfern,Astrolepis sinuata (Lag. ex Sw.) Benham & Windham ssp. sinuata,141
142,501,Xanthoparmelia Lichen,Xanthoparmelia monticola (J.P. Dey) Hale,142
143,129,Mt. Eddy Buckwheat,Eriogonum umbellatum Torr. var. humistratum Reveal,143
144,779,Henry's Spiderlily,Hymenocallis henryae Traub,144
145,955,Soot Lichen,Cyphelium pinicola Tibell,145
146,496,Johnny-jump-up,Viola pedunculata Torr. & A. Gray ssp. pedunculata,146
147,75,Plateau Catchfly,Silene petersonii Maguire var. petersonii,147
148,840,Harp Dandelion,Taraxacum lyratum (Ledeb.) DC.,148
149,154,Sedge,Carex ×mirata Dewey (pro sp.),149
150,900,Tropical Bloodleaf,Iresine argentata (Mart.) D. Dietr.,150
151,180,Fragrant Premna,Premna odorata Blanco,151
152,637,Cornflag,Gladiolus communis L. ssp. communis,152
153,843,Applegate's Rim Lichen,Lecanora applegatei Herre,153
154,780,Szatala's Crabseye Lichen,Ochrolechia szatalaensis Verseghy,154
155,624,Splashzone Moss,Scouleria Hook.,155
156,429,Yellowturbans,Eriogonum pusillum Torr. & A. Gray,156
157,224,Pseudostellaria,Pseudostellaria Pax,157
158,851,San Diego Pepperweed,Lepidium latipes Hook. var. latipes,158
159,817,Goldencarpet Buckwheat,Eriogonum luteolum Greene,159
160,534,Western Poison Ivy,Toxicodendron rydbergii (Small ex Rydb.) Greene,160
161,41,Puerto Rico Copperleaf,Acalypha portoricensis Müll. Arg.,161
162,911,Plumegrass,Dichelachne Endl.,162
163,840,Mucronate Sprangletop,Leptochloa panicea (Retz.) Ohwi,163
164,716,Texan Candyleaf,Stevia ovata Willd. var. texana Grashoff,164
165,890,Fragrant Wandflower,Sparaxis fragrans (Jacq.) Ker Gawl.,165
166,22,Alaskan Bluegrass,Poa hartzii Gandog. ssp. alaskana Soreng,166
167,488,Fremont County Rockcress,Arabis pusilla Rollins,167
168,606,Ixeris,Ixeris (Cass.) Cass.,168
169,417,White Frasera,Frasera montana Mulford,169
170,710,Texas Heliotrope,Heliotropium texanum I.M. Johnst.,170
171,344,Stevens' Panicgrass,Panicum stevensianum Hitchc. & Chase,171
172,629,Obedient Plant,Physostegia virginiana (L.) Benth.,172
173,88,Victorin's Manzanita,Arctostaphylos ×victorinii Rolland-Germain,173
174,824,Bolander's Quillwort,Isoetes bolanderi Engelm.,174
175,342,Corticifraga Lichen,Corticifraga D. Hawksw. & R. Sant.,175
176,350,Mycomicrothelia Lichen,Mycomicrothelia inaequalis (Fabre) D. Hawksw.,176
177,447,Elegant Cinquefoil,Potentilla concinna Richardson var. concinna,177
178,131,Greenhead Rush,Juncus chlorocephalus Engelm.,178
179,15,Andean Senna,Senna monozyx (Irwin & Barneby) Irwin & Barneby,179
180,676,Plains Milkvetch,Astragalus gilviflorus Sheldon var. gilviflorus,180
181,780,Clark Valley Larkspur,Delphinium geraniifolium Rydb.,181
182,490,Bog Dubautia,Dubautia imbricata H. St. John & G.D. Carr ssp. imbricata,182
183,430,Krug's Darlingplum,Reynosia krugii Urb.,183
184,926,Texas Vervain,Verbena halei Small,184
185,529,Pallas' Wallflower,Erysimum pallasii (Pursh) Fernald var. bracteosum G. Rossb.,185
186,680,Allenrolfea,Allenrolfea Kuntze,186
187,488,Roundleaf Phacelia,Phacelia rotundifolia Torr. ex S. Watson,187
188,446,Hornwort,Anthoxanthum L.,188
189,273,California Barberry,Mahonia pinnata (Lag.) Fedde ssp. pinnata,189
190,845,Parashant Woodyaster,Xylorhiza tortifolia (Torr. & A. Gray) Greene var. parashantensis N.D. Atwood & S.L. Welsh,190
191,641,Velvet Shrubverbena,Lantana velutina M. Martens & Galeotti,191
192,591,Small Spreading Pogonia,Cleistes bifaria (Fernald) Catling & Gregg,192
193,936,Holly,Ilex L.,193
194,638,Bonneville Shootingstar,Dodecatheon conjugens Greene ssp. viscidum (Piper) H.J. Thomp.,194
195,27,Ball's Willow,Salix ballii Dorn,195
196,502,Hillside Woodland-star,Lithophragma heterophyllum (Hook. & Arn.) Torr. & A. Gray,196
197,869,Spilonema Lichen,Spilonema Bornet,197
198,930,Greenland Northern Rockcress,Braya thorild-wulffii Ostenf.,198
199,660,Superb Terminalia,Terminalia superba Engl. & Diels,199
200,307,Horsebush,Peltophorum dubia (Spreng.) Taubert,200
201,476,Wideleaf Stegonia Moss,Stegonia latifolia (Schwägr.) Vent. ex Broth.,201
202,31,Polytrichum Moss,Polytrichum hyperboreum R. Br.,202
203,739,Desert Passionflower,Passiflora arida (Mast. & Rose) Killip,203
204,331,Royal Star Orchid,Encyclia isochila (Rchb. f.) D. Dod,204
205,105,Paulia Lichen,Paulia Fée,205
206,691,Coastal Red Indian Paintbrush,Castilleja hyetophila Pennell,206
207,327,Panama Tree,Sterculia apetala (Jacq.) Karst.,207
208,315,Shrubby Woodsorrel,Oxalis frutescens L. ssp. angustifolia (Kunth) Lourteig,208
209,685,Curly Dock,Rumex crispus L. ssp. crispus,209
210,781,Donner Lake Lupine,Lupinus sellulus Kellogg ssp. sellulus var. sellulus,210
211,862,Desert Beardtongue,Penstemon pseudospectabilis M.E. Jones ssp. pseudospectabilis,211
212,565,Rosepink Zephyrlily,Zephyranthes grandiflora Lindl.,212
213,384,Best's Hygrohypnum Moss,Hygrohypnum bestii (Renauld & Bryhn) Broth.,213
214,320,Greenstar Sedge,"Carex viridistellata Derieg, Reznicek, & Bruederle",214
215,612,Grand Junction Camissonia,Camissonia eastwoodiae (Munz) P.H. Raven,215
216,604,Fremont County Twinpod,Physaria saximontana Rollins var. saximontana,216
217,817,Meadow-rue,Thalictrum L.,217
218,873,Red Dock,Rumex bucephalophorus L.,218
219,273,Bejuco Prieto,Pristimera caribaea (Urb.) A.C. Sm.,219
220,992,Phaeocalicium Lichen,Phaeocalicium compressulum (Nyl. ex Szat.) A.F.W. Schmidt,220
221,550,Fringed Orchid,Platanthera ×bicolor (Raf.) Luer (pro sp.),221
222,473,Princess Of The Night,Selenicereus pteranthus (Link ex A. Dietr.) Britton & Rose,222
223,45,Columbian Stitchwort,Minuartia austromontana S.J. Wolf & Packer,223
224,670,Okeechobee Gourd,Cucurbita okeechobeensis (Small) L.H. Bailey,224
225,481,Thurber's Morning-glory,Ipomoea thurberi A. Gray,225
226,314,Common Twinpod,Physaria didymocarpa (Hook.) A. Gray var. lanata A. Nelson,226
227,122,Orange Lichen,Caloplaca litoricola Brodo,227
228,396,Isachne,Isachne confusa Ohwi,228
229,449,Broadkeel Milkvetch,Astragalus platytropis A. Gray,229
230,846,Pacific Aster,Symphyotrichum chilense (Nees) G.L. Nesom var. medium (Jeps.) G.L. Nesom,230
231,378,Anisetree,Illicium L.,231
232,984,Rocky Mountain Maple,Acer glabrum Torr.,232
233,419,Dinosaur Milkvetch,Astragalus saurinus Barneby,233
234,216,Little Sagebrush,Artemisia arbuscula Nutt. ssp. longicaulis Winward & McArthur,234
235,634,Phaeocalicium Lichen,Phaeocalicium A.F.W. Schmidt,235
236,450,Hairy Skullcap,Scutellaria elliptica Muhl. ex Spreng. var. elliptica,236
237,703,Arizona Wheatgrass,Elymus arizonicus (Scribn. & J.G. Sm.) Gould,237
238,297,Thicketwort,Oplonia microphylla (Lam.) Stearn,238
239,44,Canadian Lichinodium Lichen,Lichinodium canadense Henssen,239
240,564,Giant Brake,Pteris tripartita Sw.,240
241,208,Pitted Onion,Allium lacunosum S. Watson var. micranthum Eastw.,241
242,879,Saddle Mountain Saxifrage,Saxifraga hitchcockiana Elvander,242
243,936,Beck's Water-marigold,Bidens beckii Torr. ex Spreng.,243
244,683,Phanerophlebia,Phanerophlebia C. Presl,244
245,151,Northern Groundsel,Packera hyperborealis (Greenm.) Á. Löve & D. Löve,245
246,613,Roundleaf Thoroughwort,Eupatorium rotundifolium L. var. ovatum (Bigelow) Torr.,246
247,847,Arthothelium Lichen,Arthothelium macrothecum (Fée) A. Massal.,247
248,198,Lobb's Fiddleleaf,Nama lobbii A. Gray,248
249,671,Anemia Fern,Anemia Sw.,249
250,268,Melanelia Lichen,Melanelia exasperatula (Nyl.) Essl.,250
251,964,Slender Little Bluestem,Schizachyrium tenerum Nees,251
252,165,October Lady's Tresses,Spiranthes ovalis Lindl.,252
253,674,Showy Dewflower,Drosanthemum floribundum (Haw.) Schwant.,253
254,403,Christmas Fern,Polystichum acrostichoides (Michx.) Schott var. lonchitoides Brooks,254
255,666,Jones' Townsend Daisy,Townsendia jonesii (Beaman) Reveal,255
256,274,Niebla Lichen,Niebla homalea (Ach.) Rundel & Bowler,256
257,242,Calloose Grape,Vitis shuttleworthii House,257
258,588,Bald Cypress,Taxodium Rich.,258
259,95,Indian Rattlebox,Crotalaria assamica Benth.,259
260,800,Yuba Lupine,Lupinus purpurascens A. Heller,260
261,803,Bryum Moss,Bryum curvatum Kaur. & Arnell,261
262,885,Panicledleaf Ticktrefoil,Desmodium paniculatum (L.) DC.,262
263,483,Urban's Mimosa,Mimosa quadrivalvis L. var. urbaniana Barneby,263
264,250,Kurile Larch,Larix gmelinii (Rupr.) Rupr. var. japonica (Maxim. ex Regel) Pilg.,264
265,396,Glyphis Lichen,Glyphis cicatricosa Ach.,265
266,686,Texan Syrrhopodon Moss,Syrrhopodon texanus Sull.,266
267,467,Fineflower Gilia,Gilia leptantha Parish ssp. purpusii (Milliken) A.D. Grant & V.E. Grant,267
268,601,Lanceleaf Nightshade,Solanum lanceifolium Jacq.,268
269,306,Donner Woodrush,Luzula subcongesta (S. Watson) Jeps.,269
270,728,Divine Nightshade,Solanum nigrescens M. Martens & Galeotti,270
271,421,Mt. Diablo Cottonseed,Micropus amphibolus A. Gray,271
272,459,Creeping Golden Polypody,Phlebodium decumanum (Willd.) J. Sm.,272
273,917,Maritime Eyebright,Euphrasia tetraquetra (Brébiss.) Arrond.,273
274,745,Snub Pea,Lathyrus sulphureus W.H. Brewer ex A. Gray var. argillaceus Jeps.,274
275,939,Hawai'i Cheesewood,Pittosporum hawaiiense Hillebr.,275
276,543,Pinaleno Mountain Rubberweed,Hymenoxys ambigens (S.F. Blake) Bierner var. ambigens,276
277,850,Swiss Kidney Lichen,Nephroma helveticum Ach.,277
278,756,Shieldplant,Streptanthus tortuosus Kellogg var. optatus Jeps.,278
279,795,Cusick's Hawksbeard,Crepis bakeri Greene ssp. cusickii (Eastw.) Babc. & Stebbins,279
280,614,Monkshood,Aconitum lycoctonum L.,280
281,965,Wild Chives,Allium schoenoprasum L.,281
282,768,Fringed Brome,Bromus ciliatus L. var. ciliatus,282
283,349,Devilwood,Osmanthus Lour.,283
284,844,Lodgepole Pine,Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson,284
285,231,Paper Birch,Betula papyrifera Marshall var. papyrifera,285
286,993,Woodland Rush,Juncus subcaudatus (Engelm.) Coville & S.F. Blake,286
287,247,Ratany,Krameria L.,287
288,633,Treasureflower,Gazania linearis (Thunb.) Druce,288
289,187,Oahu Sedge,Carex wahuensis C.A. Mey. ssp. rubiginosa (R.W. Krauss) T. Koyama,289
290,142,Biennial Cinquefoil,Potentilla biennis Greene,290
291,607,Zephyrlily,Zephyranthes treatiae S. Watson,291
292,99,Desert Rose,Rosa stellata Wooton,292
293,992,American Beachgrass,Ammophila breviligulata Fernald,293
294,262,Western Spruce Dwarf Mistletoe,Arceuthobium microcarpum (Engelm.) Hawksw. & Wiens,294
295,938,Sidebells Wintergreen,Orthilia secunda (L.) House,295
296,875,Brewer's Rockcress,Arabis breweri S. Watson var. austiniae (Greene) Rollins,296
297,639,Desertgrass,Blepharidachne Hack.,297
298,128,Gairdner's Beardtongue,Penstemon gairdneri Hook. var. oreganus A. Gray,298
299,511,Pseudoleskea Moss,"Pseudoleskea incurvata (Hedw.) Loeske var. tenuiretis (Culm.) H.A. Crum, Steere & L.E. Anderson",299
300,73,Jesuit's Bark,Iva frutescens L. ssp. oraria (Bartlett) R.C. Jacks.,300
301,721,Mingled Beaksedge,Rhynchospora mixta Britton,301
302,600,Sawtooth Sandmat,Chamaesyce serrula (Engelm.) Wooton & Standl.,302
303,76,Chisos Mountain Buckwheat,Eriogonum hemipterum (Torr.) S. Stokes,303
304,359,Alabama Paraparmelia Lichen,Paraparmelia alabamensis (Hale & McCull.) Elix & J. Johnst.,304
305,410,Sticky Blue Eyed Mary,Collinsia rattanii A. Gray,305
306,831,California Desert-thorn,Lycium californicum Nutt. ex A. Gray var. californicum,306
307,50,Jelly Lichen,Collema ceraniscum Nyl.,307
308,328,Catalina Ironwood,Lyonothamnus floribundus A. Gray,308
309,964,Muttongrass,Poa fendleriana (Steud.) Vasey ssp. longiligula (Scribn. & T.A. Williams) Soreng,309
310,787,Grimmia Dry Rock Moss,Grimmia brevirostris R.S. Williams,310
311,350,Foothill Clover,Trifolium ciliolatum Benth.,311
312,460,Stiffleaf Penstemon,Penstemon aridus Rydb.,312
313,235,Ontario Goatsbeard,Tragopogon mirabilis Rouy,313
314,547,Eastern Poison Ivy,Toxicodendron radicans (L.) Kuntze ssp. verrucosum (Scheele) Gillis,314
315,887,Annual Clary,Salvia viridis L.,315
316,645,Hooker's Milkwort,Polygala hookeri Torr. & A. Gray,316
317,160,Miner's Lettuce,Claytonia perfoliata Donn ex Willd.,317
318,93,Looseflower Alpine Sedge,Carex rariflora (Wahlenb.) Sm.,318
319,642,Cyrtandra,Cyrtandra ×kipapaensis H. St. John & Storey (pro sp.),319
320,889,Oneflower Helianthella,Helianthella uniflora (Nutt.) Torr. & A. Gray var. uniflora,320
321,844,Lomagramma,Lomagramma J. Sm.,321
322,805,Inconspicuous Pea,Lathyrus inconspicuus L.,322
323,377,West Indian Sumac,Brunellia comocladiifolia Humb. & Bonpl.,323
324,288,Spring Phacelia,Phacelia verna Howell,324
325,618,Hybrid Hickory,Carya ×demareei Palmer,325
326,619,Narrowleaf Minerslettuce,Montia linearis (Douglas ex Hook.) Greene,326
327,404,Woolly Groundsel,Packera cana (Hook.) W.A. Weber & Á. Löve,327
328,759,Oak Creek Triteleia,Triteleia lemmoniae (S. Watson) Greene,328
329,746,Lesser Rattlesnake Plantain,Goodyera repens (L.) R. Br.,329
330,984,Guar,Cyamopsis tetragonoloba (L.) Taubert,330
331,64,Yellow Coralbells,Elmera racemosa (S. Watson) Rydb. var. racemosa,331
332,195,Sacajawea Bitter Root,Lewisia sacajaweana B.L. Wilson & E. Rey-Vizg.,332
333,141,Alligatorlily,Hymenocallis palmeri S. Watson,333
334,81,Hollyleaf Cherry,Prunus ilicifolia (Nutt. ex Hook. & Arn.) D. Dietr. ssp. lyonii (Eastw.) P.H. Raven,334
335,427,Bignonia,Bignonia L.,335
336,718,Reflexed Blazingstar,Mentzelia reflexa Coville,336
337,272,Pacific Reindeer Lichen,Cladina portentosa (Dufour) Follmann ssp. pacifica (Ahti) Ahti,337
338,45,Goatbush,Castela erecta Turp.,338
339,860,Basin Wildrye,Leymus cinereus (Scribn. & Merr.) Á. Löve,339
340,896,Intermountain Clover,Trifolium andinum Nutt.,340
341,279,Cinnamon Fern,Osmunda cinnamomea L. var. glandulosa Waters,341
342,311,Stellate Sedge,Carex albicans Willd. ex Spreng. var. australis (L.H. Bailey) J. Rettig,342
343,132,Macoun's False Bindweed,Calystegia macounii (Greene) Brummitt,343
344,889,Threeleaf Woodsorrel,Oxalis trilliifolia Hook.,344
345,403,Sand Sedge,Carex arenaria L.,345
346,772,Licorice Weed,Scoparia L.,346
347,974,Chaparral False Bindweed,Calystegia occidentalis (A. Gray) Brummitt ssp. occidentalis,347
348,944,Vahl's Box,Buxus vahlii Baill.,348
349,296,Rollins' Biscuitroot,Lomatium rollinsii Mathias & Constance,349
350,126,Tufted Yellow Woodsorrel,Oxalis priceae Small ssp. colorea (Small) Eiten,350
351,741,Slender Panicgrass,Ottochloa nodosa (Kunth) Dandy,351
352,537,Velvet Bean,Mucuna pruriens (L.) DC. var. utilis (Wall. ex Wight) Baker ex Burck,352
353,328,Ewan's Cinquefoil,Potentilla glandulosa Lindl. ssp. ewanii D.D. Keck,353
354,748,Chalice Lichen,Endocarpon lepidallum Nyl.,354
355,329,Puerto Rico Babyboot Orchid,Lepanthes veleziana Stimson var. retusicolumna Stimson,355
356,915,Huachuca Mountain Dwarf Mistletoe,Arceuthobium gillii Hawksw. & Wiens,356
357,393,Ulota Moss,Ulota obtusiuscula Müll. Hal. & Kindb.,357
358,230,Shortleaf Blazing Star,Liatris tenuifolia Nutt. var. quadriflora Chapm.,358
359,54,Torrey's Blazingstar,Mentzelia torreyi A. Gray,359
360,588,Margaranthus,Margaranthus Schltdl.,360
361,954,Eggleaf Rosette Grass,Dichanthelium ovale (Elliott) Gould & C.A. Clark,361
362,19,Thicket Globemallow,Sphaeralcea fendleri A. Gray ssp. albescens Kearney,362
363,45,Cinclidium Moss,Cinclidium Sw.,363
364,965,Variableleaf Flymallow,Cienfuegosia heterophylla (Vent.) Garcke,364
365,27,Elliott's Goldenrod,Solidago latissimifolia Mill.,365
366,205,Kolkwitzia,Kolkwitzia Graebn.,366
367,618,Tiny Orchid,Lepanthopsis melanantha (Rchb. f.) Ames,367
368,489,Bering Chickweed,Cerastium beeringianum Cham. & Schltdl.,368
369,562,Hassler's Noddingcaps,Triphora hassleriana (Cogn.) Schltr.,369
370,469,Cleveland's Lipfern,Cheilanthes clevelandii D.C. Eaton,370
